SL NO,Item Name
5195,WOMEN - BLACK PEPPER POWDER - 50G
5196,WOMEN - BLACK PEPPER WHOLE - 100G
5197,WOMEN - ALMOND - 100G
5200,WOMEN - PANI PURI - 100G
5201,WOMEN - KASHMIRI RED CHILLI POWDER - 200G
5203,WOMEN - CORIANDER POWDER - 100G
5204,WOMEN - PANCH PHORON - 100G
5205,WOMEN - BIRYANI RICE - 1KG
5206,WOMEN - GREEN PISTA - 50g
5207,WOMEN - BARIK RICE - 1KG
5208,WOMEN - BAJRA - 500G
5209,WOMEN - HAREES - 400G
5215,WOMEN - DRIED MINT - 50G
5216,WOMEN - NUT MUG - 50G
5217,WOMEN - WALNUT - 100G
5218,WOMEN - PINK SALT - 100G
5219,WOMEN - WALNUT - 50G
5230,WOMEN - KALONJI - 100G
5232,WOMEN - SUNFLOWER SEED - 200G
5238,WOMEN - DRIED MINT LEAF - 50G
5242,WOMEN - RAISINS BLACK - 100G
5249,WOMEN - PISTA - 100G
5254,WOMEN - PISTA - 200G
5256,WOMEN - FLAX SEED - 200G
5257,WOMEN - CARDAMOM POWDER - 30G
5258,WOMEN - BARLEY - 100G
5259,WOMEN - URAD GOTA - 400G
5263,WOMEN - URAD WHOLE MASH - 400G
5264,WOMEN - MIX MASALA  POWDER - 200G
5266,WOMEN - SUGAR - 500G
5267,WOMEN - FLOUR (NO 2 ) - 500G
5268,WOMEN - SUGAR - 1KG
5272,WOMEN - ROSEMARY - 50G
5274,WOMEN - URAD SPLIT MASH - 800G
5276,WOMEN - SAGO SEED - 100G
5278,WOMEN - MATAR DAL - 400G
5279,WOMEN - COCONUT POWDER - 400G
5280,WOMEN - COCONUT POWDER - 100G
5281,RUCHIS - ROASTED SEMOLINA - 1KG
5282,RUCHIS STEAM MADE PUTTU PODI 1KG
5283,INDIA GATE PURE BASMATI RICE 1KG
5284,ANGUR BRAND TAMARIND 150G
5285,WOMEN BURGUL BROWN LONG 400G
5286,ARZAAN JAGGERY 500G
5287,MARINO MACARONI PASTA 400G
5288,TAZAA SARDINES IN VEGETABLE OIL 125G
5289,TAZAA SARDINES IN VEGETABLE OIL WITH CHILI 125G
5290,ATLANTA LIGHT MEAT TUNA 185G
5313,WOMEN - HAREES - 800G
5401,WOMEN - FOUL MEDAMES SPLIT - 400G
5416,WOMEN - AJINOMOTO - 100G
5417,WOMEN - AJWAIN SEED - 50G
5419,WOMEN - ALMOND - 50G
5420,WOMEN - ALMOND SLICE - 100G
5421,WOMEN - ALU BAKHURA - 100G
5423,WOMEN - ARABIC MASALA - 100G
5424,WOMEN - ASALIO SEED - 100G
5425,WOMEN - BAJRA - 1 KG
5426,WOMEN - TUKMALINGA BASIL SEEDS - 100G
5427,WOMEN - BASMATI RICE - 1KG
5428,WOMEN - BAY LEAVES - 50G
5429,WOMEN - BESAN GRAM FLOUR - 400G
5430,WOMEN - BESAN POWDER - 800G
5431,WOMEN - BLACK CHANA - 400G
5432,WOMEN - BLACK CHANA - 800G
5433,WOMEN - BLACK CUMIN - 50G
5434,WOMEN - BLACK EYE BEANS - 400G
5435,WOMEN - BLACK EYE BEANS - 800G
5437,WOMEN - BLACK PEPPER WHOLE - 50G
5438,WOMEN - BLACK SALT - 100G
5439,WOMEN - BLACK SESAME SEED - 100G
5441,WOMEN - BROKEN RICE MATTA - 400G
5442,WOMEN - BURGUL BROWN - 400G
5443,WOMEN - BURGUL WHITE - 400G
5445,WOMEN - KALONJI - 50G
5446,WOMEN - CARDAMOM - 20G
5447,WOMEN - CARDAMOM BLACK - 30G
5451,WOMEN - CASHEW NUTS - 50G
5452,WOMEN - CHANA DAL - 400G
5453,WOMEN - CHANA DAL - 800G
5454,WOMEN - CHIA SEED - 100G
5455,WOMEN - CHILLI POWDER - 200G
5457,WOMEN - CHIRATA - 50G
5458,WOMEN - CINNAMON POWDER - 100G
5459,WOMEN - CINNAMON STICK - 100G
5460,WOMEN - CLOVES - 30G
5461,WOMEN - COCONUT POWDER - 200G
5462,WOMEN - CORIANDER POWDER - 200G
5463,WOMEN - CORIANDER WHOLE - 100G
5464,WOMEN - CORIANDER WHOLE - 200G
5465,WOMEN - CORN STARCH - 200G
5466,WOMEN - CRUSHED CHILLI - 100G
5467,WOMEN - CUMIN POWDER - 100G
5468,WOMEN - CUMIN SEED - 50G
5469,WOMEN - CUMIN SEED - SWEET 100G
5470,WOMEN - CURRY POWDER - 100G
5472,WOMEN - DRY LEMON BLACK - 100G
5473,WOMEN - DRY LEMON YELLOW - 100G
5476,WOMEN - EGYPTIAN RICE - 1KG
5477,WOMEN - FENNEL SEED - 100G
5478,WOMEN - FENNEL SEED - 50G
5479,WOMEN - FENUGREEK POWDER - 100G
5480,WOMEN - FENUGREEK SEED - 100G
5481,WOMEN - FLOUR( NO 1) - 1KG
5482,WOMEN - FLOUR (NO 2 ) - 1KG
5483,WOMEN - FOUL MEDAMES - 400G
5485,WOMEN - GARAM MASALA POWDER - 100G
5486,WOMEN - GARAM MASALA WHOLE - 100G
5487,WOMEN - GARLIC POWDER - 100G
5488,WOMEN - GINGER POWDER - 100G
5489,WOMEN - GOND KATIRA - 50G
5490,WOMEN - GREEN MASOOR WHOLE - 400G
5491,WOMEN - GREEN PEAS - 400G
5492,WOMEN - GREEN PEAS - 800G
5494,WOMEN - HORSE GRAM - 400G
5497,WOMEN - JEERAKASHALA RICE - 1KG
5498,WOMEN - LEMON SALT - 100G
5499,WOMEN - LONG CHILLI WHOLE - 100G
5500,WOMEN - LONG CHILLI WHOLE - 50G
5501,WOMEN - LUMP SUGAR - 100G
5502,WOMEN - MASOOR DAL - 400G
5503,WOMEN - MASOOR DAL - 800G
5504,WOMEN - MASOOR GOTA - 400G
5505,WOMEN - MIXED NUTS - 50G
5506,WOMEN - MOONGDAL - 400G
5507,WOMEN - MOONGDAL - 800G
5508,WOMEN - MOONG SPLIT - 400G
5509,WOMEN - MOONG WHOLE - 400G
5510,WOMEN - MOONG WHOLE - 800G
5511,WOMEN - MUSTARD SEED - 100G
5512,WOMEN - ONION POWDER - 100G
5513,WOMEN - OREGANO - 50G
5514,WOMEN - PALAKKADAN MATTA RICE - 1KG
5515,WOMEN - PAPRIKA POWDER - 100G
5516,WOMEN - PEANUT - 200G
5518,WOMEN - PISTA - 50G
5520,WOMEN - POHA BROWN - 400G
5521,WOMEN - POHA WHITE - 200G
5522,WOMEN - POHA WHITE - 400G
5523,WOMEN - PONNI RICE - 1KG
5524,WOMEN - POPCORN - 200G
5525,WOMEN - POPCORN - 400G
5526,WOMEN - RAGI POWDER - 400G
5527,WOMEN - RAGI POWDER - 800G
5528,WOMEN - RAGI WHOLE - 400G
5532,WOMEN - RAISINS GOLDEN - 50G
5534,WOMEN - RED CHOWLI - 800G
5535,WOMEN - RED KIDNEY BEAN - 800G
5536,WOMEN - RED KIDNEY BEANS - 400G
5537,WOMEN - RED MASOOR WHOLE - 400G
5538,WOMEN - RED MASOOR WHOLE - 800G
5539,WOMEN - RICE POWDER - 400G
5540,WOMEN - RICE POWDER - 800G
5541,WOMEN - RICE US STYLE - 1KG
5542,WOMEN - ROASTED CASHEW - 100G
5544,WOMEN - ROASTED GRAM SPLIT - 100G
5545,WOMEN - ROASTED GRAM SPLIT - 200g
5546,WOMEN - ROUND CHILLI WHOLE - 100G
5548,WOMEN - SEMOLINA (SOOJI) - 400G
5549,WOMEN - SEMOLINA (SOOJI) - 800G
5550,WOMEN - SHA JEERA - 50G
5551,WOMEN - SODA POWDER - 100G
5552,WOMEN - SONA MASOORI RICE - 1KG
5553,WOMEN - SOYA WADI - 100G
5554,WOMEN - SOYA WADI - 200G
5555,WOMEN - STAR ANNE SEED - 30G
5556,WOMEN - SUMMAK - 100G
5557,WOMEN - SUNFLOWER SEED - 100G
5558,WOMEN - TOOR DAL - 400G
5559,WOMEN - TOOR DAL - 800G
5560,WOMEN - TURMERIC POWDER - 100G
5561,WOMEN - TURMERIC WHOLE - 100G
5563,WOMEN - URAD DAL - 800G
5562,WOMEN - URAD SPLIT - 400G
5565,WOMEN - MASH URAD DAL - 400G
5567,WOMEN - WHITE BEANS - 400G
5569,WOMEN - WHITE CHICKPEAS - 400G
5571,WOMEN - WHITE PEPPER POWDER - 100G
5572,WOMEN - WHITE RICE - 1KG
5573,WOMEN - WHITE SESAME SEED - 100G
5574,WOMEN - YANSOON - 50G
5575,WOMEN - ZATAR POWDER - 100G
5664,WOMEN - FLOUR( NO 1) - 500G
5673,BEST TAMARIND SHIP BRAND 300G
5879,AMERICAN FRESH TUNA FLAKES IN SUNFLOWER OIL 185G
5908,AMERICAN GOLD LIGHT MEAT TUNA FLAKE in SUNFLOWER OIL 160G
